symbol,bars,history_days_observed,realized_vol_daily,median_range_bps,median_hourly_quote_volume,turnover_24h,spread_bps,funding_rate_now,price_acceleration_24h,volume_acceleration,vol_pct,liq_pct,spread_pct,tier,roundtrip_slippage_bps_10,roundtrip_slippage_bps_25,roundtrip_slippage_bps_50,roundtrip_slippage_bps_100,roundtrip_slippage_bps_250,roundtrip_slippage_bps_500,roundtrip_slippage_bps_1000,cost_bps_100
LMTUSDT,1000,41.666666666666664,0.011733950373439108,25.584523198260072,180.91045,52091.002,0.17774459878584273,0.0,0.006046355391333469,2.459193748895786,0.035386631716906945,0.14941022280471822,0.01703800786369594,HV_D,,,,,,,,
LPTUSDT,1000,41.666666666666664,0.0379717773415923,84.65634798188432,1360.5365000000002,61761.8322,14.892032762472091,5e-05,0.04975124378109452,0.3362966609000699,0.4783748361730013,0.1743119266055046,0.8479685452162516,HV_D,,,,,,,,
LQTYUSDT,1000,41.666666666666664,0.043630064100651206,91.35252541281062,1108.50153,44749.10206,13.834447774959406,0.0001,0.03479036574487071,0.33595065580009587,0.6277850589777195,0.12844036697247707,0.8322411533420708,HV_D,,,,,,,,
LRCXUSDT,1000,41.666666666666664,0.02628415553480406,47.90098317228565,818.9685999999999,99623.9748,8.616404308201853,0.0,0.008736779872561162,0.6446982888710986,0.2254259501965924,0.2490170380078637,0.5845347313237221,HV_D,,,,,,,,
LSKUSDT,1000,41.666666666666664,0.06509439634553958,135.35207628710947,6241.57215,108726.2297,19.588638589618583,5e-05,0.013448607108549449,0.45512950603160496,0.8741808650065531,0.26605504587155965,0.9318479685452162,HV_C,,,,,,,,
LTCUSDT,1000,41.666666666666664,0.02416140693690128,73.37246054912401,182348.158,6987803.738,2.058248430586625,5.2e-05,0.0306736166800321,0.9849049890378033,0.18872870249017037,0.9226736566186108,0.15465268676277852,HV_D,,,,,,,,
LUMIAUSDT,1000,41.666666666666664,0.039994945704804996,97.58982204871694,3272.0010199999997,169577.1047,19.403070250528273,5.3e-05,0.0022880677268047878,0.7509439214073689,0.5399737876802096,0.39711664482306686,0.9252948885976409,HV_D,,,,,,,,
LUNAUSDT,1000,41.666666666666664,0.03554983604270072,58.824880802839644,896.74596,48402.89645,6.823609689524692,5e-05,0.035462555066079315,0.13306078593529708,0.4233289646133683,0.1363040629095675,0.44954128440366975,HV_D,,,,,,,,
LUNCUSDT,1000,41.666666666666664,0.0306714465527017,82.23122484185461,4829.6088969150005,443719.97056031,7.93021411578105,0.0001,0.042857142857142816,0.5517630636155944,0.290956749672346,0.617300131061599,0.528178243774574,HV_D,,,,,,,,
LWLGUSDT,1000,41.666666666666664,0.032588339206510095,59.63675841589488,254.15913999999998,53617.16749,39.16083916083899,0.0,0.04434114071160378,0.3356947267377235,0.3394495412844037,0.15334207077326342,0.9947575360419397,HV_D,,,,,,,,
LYNUSDT,1000,41.666666666666664,0.03869865239873717,96.35827424643219,4151.154255,236441.95974,11.11728738187837,0.000443,0.011513157894736725,2.1072755434439316,0.5019659239842726,0.48623853211009177,0.745740498034076,HV_D,,,,,,,,
LYTEUSDT,343,14.291666666666666,0.03238845983524246,76.04000574075445,1213.64447,56832.27621,17.537777596508455,0.0,0.012782856906465856,0.15055997123819653,0.3315858453473132,0.16382699868938402,0.9069462647444299,HV_D,,,,,,,,
MAGICUSDT,1000,41.666666666666664,0.05426722640372528,89.67915599341194,2008.7406,214647.837676,6.573901610606387,3.6e-05,0.06729585556011486,4.309772464162769,0.7942332896461337,0.45871559633027525,0.43119266055045874,HV_B,0.7389933850920904,4.30273076128862,6.537332221027148,10.780079855019498,15.207417118749955,21.57732110748323,31.787277809346428,29.353981465625886
MAGMAUSDT,1000,41.666666666666664,0.17634757822517963,431.63452294617946,318773.39787,17943431.9088,3.7713407116235325,5e-05,0.308861062370394,4.527480461095472,0.9934469200524246,0.9541284403669725,0.24508519003931847,HV_A,0.0,0.5469747902198119,1.925958967301522,4.117065910166362,7.723836088178171,11.61291352672511,14.22135340865216,19.888406621789894
MANAUSDT,1000,41.666666666666664,0.038489629086292554,88.6173099075827,6486.6224365,349388.390821,15.502373800988412,0.0001,0.03940494815836226,1.3996422461343476,0.4941022280471822,0.5753604193971167,0.8702490170380078,HV_D,,,,,,,,
MANTAUSDT,1000,41.666666666666664,0.029891552475814015,71.6903948289721,1912.6612264999999,132670.764754,5.174644243208666,5e-05,0.027815239379635814,1.603158089977899,0.2699868938401048,0.3315858453473132,0.3289646133682831,HV_D,,,,,,,,
MANTRAUSDT,1000,41.666666666666664,0.07291887772321506,126.13878015864677,24881.870615,1074925.973441,11.506155793350969,5e-05,0.00711825487944906,1.8158642958406517,0.90956749672346,0.7483617300131061,0.7667103538663171,HV_C,,,,,,,,
MARAUSDT,129,5.375,0.0417460746792061,55.77150583065804,4069.72934,299789.87722,4.68757324333266,0.0,0.013842437755481107,,0.5845347313237221,0.54521625163827,0.3053735255570118,HV_D,,,,,,,,
MARUSDT,1000,41.666666666666664,0.012723122248616396,38.24150005838219,208.26985,31097.1447,12.554927809165296,0.0,0.023665774335023038,0.687699846473484,0.05111402359108781,0.0982961992136304,0.7929226736566186,HV_D,,,,,,,,
MASKUSDT,1000,41.666666666666664,0.047227764687569486,110.61671297598767,3227.18028,98543.3896,7.159050232669668,5e-05,0.019506462984723805,0.6931526095754779,0.6998689384010485,0.2437745740498034,0.4705111402359109,HV_D,,,,,,,,
MAVUSDT,1000,41.666666666666664,0.03984798939327144,84.4296248188246,693.26597655,131669.4495922,9.376465072668848,0.0001,0.04995539696699369,0.4332811778662251,0.5386631716906947,0.3289646133682831,0.63564875491481,HV_D,,,,,,,,
MCDUSDT,1000,41.666666666666664,0.009635884485150114,25.20271106389662,2105.10135,112310.9387,3.3822506999370514,0.000131,7.516253899053638e-05,3.25014067824067,0.01834862385321101,0.2778505897771953,0.22018348623853212,HV_D,,,,,,,,
MDBUSDT,1000,41.666666666666664,0.02509171355251599,36.31717668716118,189.78859999999997,15472.3689,12.960604232307304,0.0,0.0015634422531437542,0.8156912396737492,0.20314547837483618,0.057667103538663174,0.8060288335517694,HV_D,,,,,,,,
MEGAUSDT,1000,41.666666666666664,0.03907336955285274,88.15694416325817,5232.628790000001,165597.43841,8.001066808908453,5e-05,0.02499999999999991,0.29496520314663227,0.5163826998689384,0.3892529488859764,0.5373525557011796,HV_D,,,,,,,,
MEITUANUSDT,1000,41.666666666666664,0.03714151400841278,40.066458911832484,1114.73182,426715.06081,2.9722098380146766,0.0,0.023979887836008573,5.597608040214864,0.4521625163826999,0.6107470511140236,0.2018348623853211,HV_D,,,,,,,,
MELANIAUSDT,1000,41.666666666666664,0.07565578603699089,178.5161717340352,23420.333688,499074.591164,12.358001806169979,5e-05,0.05757603104412967,0.70097041516481,0.9213630406290957,0.6382699868938401,0.7850589777195282,HV_C,,,,,,,,
MELIUSDT,510,21.25,0.01510663510080503,23.71833356194694,241.49540000000002,26539.6171,7.7000077000077,0.0,0.010318186438955101,1.130804320009608,0.07732634338138926,0.08387942332896461,0.5150720838794234,HV_D,,,,,,,,
MEMEUSDT,1000,41.666666666666664,0.03949368601010072,88.08156508632868,755.6615753000001,119764.9898983,7.656967840735255,5e-05,0.029702970297029507,0.06773257339373195,0.528178243774574,0.29750982961992134,0.5111402359108781,HV_D,,,,,,,,
MERLUSDT,1000,41.666666666666664,0.0625707249672108,160.38676332320307,12159.124595000001,525186.279399,9.910802775024374,5e-05,0.02848865282472235,3.0595369611315237,0.8571428571428571,0.6422018348623854,0.6775884665792923,HV_B,0.0,0.0,0.5295670223315341,2.7419946389373173,4.0699211506534105,6.208765693145324,10.52309458642986,24.65279741396169
METAUSDT,1000,41.666666666666664,0.023494036549222982,22.847327214996852,26861.444150000003,1695935.1922,0.698848646853672,9.7e-05,0.017812054483931417,0.6332513782866748,0.1782437745740498,0.8060288335517694,0.06028833551769332,HV_D,,,,,,,,
METISUSDT,1000,41.666666666666664,0.04416443545589594,91.34673152149313,1576.62872,129661.79274,7.587253414264886,5e-05,0.055495495495495484,1.3488708231856357,0.63564875491481,0.3211009174311927,0.508519003931848,HV_B,0.0,1.9957521309488246,2.897653465608885,3.681226867338072,6.032129791193608,7.735211865760316,10.591772829477986,23.268480281602958
METUSDT,1000,41.666666666666664,0.06299734053300728,131.061743230047,8880.55725,253835.2356,10.454783063250286,5e-05,0.05832921403855662,0.25146734896890094,0.8623853211009175,0.508519003931848,0.7064220183486238,HV_B,0.0,1.9272295568961706,3.587185189424247,4.416956324058141,8.023180316502065,9.255319185450528,11.667479581120022,26.871739387308427
METUUSDT,1000,41.666666666666664,0.03799869884004956,47.940021508392206,176.15788,6500.68146,13.688559912799322,0.0,0.028530529641147107,0.43520158601508585,0.4796854521625164,0.01703800786369594,0.8269986893840104,HV_D,,,,,,,,
MEUSDT,1000,41.666666666666664,0.04391875053305906,102.4599554250238,4401.901285,176514.56981,6.556302245533252,5e-05,0.0006580029610134819,0.48434437474234315,0.6330275229357798,0.41153342070773263,0.42857142857142855,HV_B,0.0,-2.220446049250313e-12,-2.220446049250313e-12,0.6392803342580855,1.8540468534988808,3.8320748068410015,6.136262488047883,19.19558257979134
MEWUSDT,1000,41.666666666666664,0.056460485367597235,110.51297827672713,4254.86603,244557.10799,7.264802034144745,5e-05,0.04786245353159857,0.8212385842282468,0.817824377457405,0.4967234600262123,0.4783748361730013,HV_B,2.220446049250313e-12,0.0,0.3106129999541629,2.581602727319554,5.794783849574214,7.80726751332117,11.086740661623296,21.8464047614643
MINAUSDT,1000,41.666666666666664,0.06584564311852999,149.29119505467372,11532.647978500001,557049.560833,13.530782530255262,-0.000202,0.009144947416552363,1.6849872903211567,0.8768020969855832,0.6500655307994757,0.8217562254259502,HV_C,,,,,,,,
MINIMAXHKDUSDT,996,41.5,0.049041618409771046,44.677730034135365,4989.11125,826168.0113,3.130647617150645,0.0,0.13556582732650213,0.9452082954990468,0.7313237221494102,0.7142857142857143,0.20576671035386632,HV_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.130647617150645
MINIMAXUSDT,1000,41.666666666666664,0.05052709496190816,63.78807285341193,8698.0462,3265433.4209,8.012463832628837,0.0,0.13319843176931845,2.328167844131814,0.7496723460026212,0.8741808650065531,0.5399737876802096,HV_B,0.09101478792072903,0.5710257795621398,0.7310192030451912,0.936231173996882,2.356577733566567,3.0705947636122666,4.068755131372281,20.94869500662572
MIRAUSDT,1000,41.666666666666664,0.04439793117087359,107.02598863453852,4084.312935,934033.23477,8.93056485822847,5e-05,0.0009035464196973653,7.577024038257235,0.6395806028833552,0.7234600262123198,0.6002621231979031,HV_B,0.0,-2.220446049250313e-12,-2.220446049250313e-12,1.099039911260924,3.0155862567449176,5.5678883284859815,8.966895197072278,22.029604769489396
MMTUSDT,1000,41.666666666666664,0.037477347338380686,103.94422412039735,10329.523949999999,343600.2038,12.738853503183309,5e-05,0.013801756587201841,0.40748579572380195,0.46264744429882043,0.5701179554390564,0.799475753604194,HV_D,,,,,,,,
MOCAUSDT,1000,41.666666666666664,0.0452946397585621,86.22742746367996,1879.3804380000001,132977.260067,16.930978046164444,5e-05,0.00966292134831448,2.511348803535296,0.6671035386631717,0.33420707732634336,0.8964613368283093,HV_D,,,,,,,,
MONUSDT,1000,41.666666666666664,0.07005295990843856,172.50314451472107,38129.75687,994232.98155,11.072153533861885,2.7e-05,0.01609363569861011,0.5980564538432098,0.891218872870249,0.7313237221494102,0.7418086500655308,HV_B,0.0,0.0,0.38582918208351913,2.035620628308976,3.0257568057634465,4.317994900304711,8.732095899524062,25.107774162170863
MOODENGUSDT,1000,41.666666666666664,0.04855233637107415,106.16478939841897,4679.889675,218023.73102,7.551919446191393,5e-05,0.047342995169082025,0.2939873487936358,0.7208387942332897,0.4692005242463958,0.5032765399737876,HV_B,0.0,0.0,0.22948477138351464,1.3755898160672242,4.147314238324151,6.617425337535066,9.288956050474972,20.927509262258617
MOONSHOTUSDT,583,24.291666666666668,0.01642587433868012,15.95092754760623,1615.10435,32888.853,5.574912891984954,0.0,0.0033328704346620164,0.060433569537182645,0.0891218872870249,0.10484927916120576,0.3564875491480996,HV_D,,,,,,,,
MORPHOUSDT,1000,41.666666666666664,0.053774653239487234,139.2278165416962,37053.103149999995,1321720.1666,7.761249191536508,-0.000177,0.07616961974915393,0.49638268959500775,0.7876802096985583,0.7758846657929227,0.5190039318479686,HV_B,0.0,-1.1102230246251565e-12,0.18527213347829807,1.297378677916905,3.437567149203735,6.343232681863542,9.649155741416893,21.05862786945341
MOVEUSDT,1000,41.666666666666664,0.07322910959228858,167.53286519373435,25773.021569999997,615627.452318,3.628666465073518,-9.4e-05,0.03668112035626403,1.069195107862017,0.9121887287024901,0.672346002621232,0.23591087811271297,HV_A,0.0,0.0,0.2816833243313166,1.3906755822734596,2.97673661521336,4.332361302107346,6.55526467855938,17.019342047346978
MOVRUSDT,1000,41.666666666666664,0.1672093535639485,255.1734631771155,69969.8257815,1387931.452853,6.190800470500154,5e-05,0.033557046979865834,3.516444783018924,0.9908256880733946,0.783748361730013,0.4076015727391874,HV_A,0.0,0.0,0.0221277663570163,0.7111357845612787,3.7776210677198385,9.677656208183505,17.841897359957002,18.901936255061432
MPUSDT,1000,41.666666666666664,0.03084609341852586,48.04532600449613,760.5699,285812.7867,5.463983243784926,0.0,0.03109540636042396,1.6154444489672708,0.30144167758846657,0.5347313237221494,0.34469200524246396,HV_D,,,,,,,,
MRKUSDT,274,11.416666666666666,0.017573642641262283,58.77582515055906,1802.4818,37105.925,6.083752999628445,0.0,0.00817146684527792,0.6527343698458049,0.10353866317169069,0.11140235910878113,0.40104849279161203,HV_D,,,,,,,,
MRNAUSDT,274,11.416666666666666,0.05442656738843032,76.7812949243929,167649.06075,8200807.0545,4.909696650887014,0.0,0.047354168191465984,0.3158551071429449,0.7968545216251638,0.9252948885976409,0.3145478374836173,HV_A,0.10451676689671174,0.8334624305184057,1.4734748113220952,1.7935117213352392,1.9855436987503694,3.8883252721322314,5.115254788671253,18.703208372222253
MRVLUSDT,1000,41.666666666666664,0.04120525996715865,74.06895113537281,228161.21915000002,9461473.4151,0.9497127119037851,0.000313,0.03280044101433299,0.8117674419785461,0.5753604193971167,0.9305373525557011,0.08387942332896461,HV_D,,,,,,,,
MSFTUSDT,1000,41.666666666666664,0.012728838976185994,17.682580551757,17240.0562,1688513.2178,0.5871013826232221,0.0,0.008995909187847762,1.5650677312528192,0.05242463958060288,0.8034076015727392,0.05111402359108781,HV_D,,,,,,,,
