architecture,tier,horizon_h,median_estimated_cost_bps_100,events,symbols,mean_return_bps,median_return_bps,trimmed_mean_bps,winsorized_mean_bps,return_ex_top1pct_bps,return_ex_top_symbol_bps,return_ex_top_week_bps,first_half_mean_bps,second_half_mean_bps,raw_events_day,net_edge_bps,move_to_cost,top_symbol_share,top5_symbol_share,top_week_share
vol_expansion,HV_A,1,17.757604836388495,14734,82,2.7747679108498486,-8.414382891401285,-1.3183898261092364,-0.1475110336372919,-4.15650430643703,1.4325267898012504,1.4152775204095351,5.742239726902496,-0.19350962657560483,82.50489967335511,-14.982836925538646,10.424359686612558,0.14320931945892992,0.4332771376721829,0.1415828015636251
vol_expansion,HV_A,12,17.757604836388495,7122,82,2.286082600331877,-22.731617919353187,-5.008840955377965,0.6114416960620839,-8.87708722734091,-1.1720711130950503,-4.0009587009028165,-9.400722329148172,13.979453150558818,39.98315789473684,-15.471522236056618,24.614683538706082,0.10427236184963298,0.3980725888524742,0.22928534989270008
attention_continuation,HV_C,1,25.236804852786896,127,5,9.198412149862094,1.6454946356869726,10.63680987940588,15.422899648686027,13.573010957635294,-16.957390517285276,-49.56622172313724,97.08789012438017,-85.89512139633776,3.259893048128342,-16.038392702924803,10.730873280561784,0.6048290036343398,1.0,0.8442887989895312
vol_expansion,HV_B,24,22.183299389001622,1981,113,3.4136461033657906,-31.510950055144704,4.784975867478507,9.055314134048848,8.622359532312267,-1.506339817826765,-40.76065971702207,-30.91626083016653,37.84768824498767,51.34341252699784,-18.769653285635833,21.123527340213343,0.06858253184735742,0.2832351980220053,0.8506794689905499
attention_continuation,HV_B,24,22.096787593750648,1491,113,2.1098656402660283,-45.307443365696365,-7.697174751922631,-5.607367095728174,-5.087156488641492,-4.328212393427327,-71.61163929639405,-69.8895127395796,75.77001665573904,38.685405405405405,-19.986921953484618,22.011562736463155,0.07362214581620599,0.3027658560532828,1.0
attention_continuation,HV_B,1,22.096787593750648,3238,113,1.6059307610265308,-8.525865668722599,-1.3314265971502115,-1.238193196666022,-1.631358313041568,-0.6467507805436394,-1.6636329726638721,15.828023822974457,-12.633742144014034,81.88830347734458,-20.490856832724116,7.475536580941382,0.10701503090023963,0.35099892939864913,0.36311578482574386
attention_continuation,HV_A,4,17.55401277422877,6614,82,-3.080608736161924,-18.08163420358888,-6.481727679918831,-2.782300462713168,-9.700197438066445,-6.327592483200133,-6.6771279045749665,-5.6640513585346515,-0.49716611378919245,37.061872519262195,-20.634621510390694,17.764066667393184,0.15676368252483186,0.37724612888089115,0.23649428531722105
vol_expansion,HV_A,4,17.757604836388495,10043,82,-2.923670884709304,-20.1342281879191,-7.034688471980359,-4.375121354601819,-10.931540639721591,-4.773586824484809,-6.05953780009368,-1.3565247095967399,-4.491753601360776,56.27644174643941,-20.681275721097798,16.527852005555978,0.143318452077611,0.3827850847977015,0.2181662136442483
pump_exhaustion_reversal,HV_B,1,22.096787593750648,986,113,1.0049002511762761,11.53014974903166,7.562221221472491,6.406105784860225,10.000402827973819,-2.7534644163619264,-8.0958404565715,-23.7026630326039,25.712463534956456,24.962025316455698,-21.09188734257437,9.720500216499484,0.08053652076953488,0.3122150559646003,0.5531849694509746
vol_expansion,HV_B,1,22.096787593750648,6057,113,0.4812843985669647,-6.456535775076766,-1.9625452008793713,-1.3856637523454283,-2.5463070356752757,-1.0330628656219316,-1.8154269687147955,9.419886742544305,-8.466176817901928,153.18018967334038,-21.615503195183685,6.7367094777435845,0.11045871547698789,0.3817703760972219,0.47289262497945045
pump_exhaustion_reversal,HV_A,4,17.55401277422877,2098,82,-4.639460222988577,29.55959110012063,3.38256542132131,-3.395035838197601,16.387935327656756,-8.137200702914548,-14.628598729544116,-7.631364270730322,-1.6475561752468297,11.75624562222741,-22.19347299721735,23.40121777658687,0.07589916966861093,0.29293182317526156,0.28586137993141875
